,Interface,Access_VLAN,Active,All_Prefixes,Allowed_VLANs,Auto_State_VLAN,Bandwidth,Blacklisted,Channel_Group,Channel_Group_Members,DHCP_Relay_Addresses,Declared_Names,Description,Encapsulation_VLAN,HSRP_Groups,HSRP_Version,Incoming_Filter_Name,MLAG_ID,MTU,Native_VLAN,Outgoing_Filter_Name,PBR_Policy_Name,Primary_Address,Primary_Network,Proxy_ARP,Rip_Enabled,Rip_Passive,Spanning_Tree_Portfast,Speed,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF,VRRP_Groups,Zone_Name
39,mx10003.noc[et-0/1/0],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/0'],hg-0-0-1.mx10008.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
16,mx10003.noc[et-0/1/0.0],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/0.0'],hg-0-0-1.mx10008.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
35,mx10003.noc[et-0/1/0.1503],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/0.1503'],,,[],,,,1500,,,,,,False,False,False,False,,False,NONE,DOT1Q,JGN-VLAN,[],
46,mx10003.noc[et-0/1/1],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/1'],hg-0-0-0-4.ncs5508.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
36,mx10003.noc[et-0/1/1.0],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/1.0'],hg-0-0-0-4.ncs5508.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
8,mx10003.noc[et-0/1/2],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/2'],hg-4-0-0.ne9000-8.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
34,mx10003.noc[et-0/1/2.0],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/2.0'],hg-4-0-0.ne9000-8.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
47,mx10003.noc[et-0/1/3],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/3'],hg-86-0-0.kamuee.noc,,[],,,,2048,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
1,mx10003.noc[et-0/1/3.0],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/3.0'],hg-86-0-0.kamuee.noc,,[],,,,2048,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
43,mx10003.noc[et-0/1/4],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/4'],hg-4-0-0.ce12804.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
2,mx10003.noc[et-0/1/4.0],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/4.0'],hg-4-0-0.ce12804.noc,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
27,mx10003.noc[et-0/1/4.1501],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/4.1501'],,,[],,,,1500,,,,,,False,False,False,False,,False,NONE,DOT1Q,JGN-VLAN,[],
28,mx10003.noc[et-0/1/4.1503],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/4.1503'],,,[],,,,1500,,,,,,False,False,False,False,,False,NONE,DOT1Q,JGN-VLAN,[],
42,mx10003.noc[et-0/1/5],,True,[],,True,100000000000.0,False,,[],[],['et-0/1/5'],4U09-050,,[],,,,9192,,,,,,False,False,False,False,,False,NONE,DOT1Q,default,[],
