,Interface,IPs,Remote_Interface,Remote_IPs
11,as1border1[GigabitEthernet0/0],['1.0.1.1'],as1core1[GigabitEthernet1/0],['1.0.1.2']
17,as1border1[GigabitEthernet1/0],['10.12.11.1'],as2border1[GigabitEthernet0/0],['10.12.11.2']
32,as1border2[GigabitEthernet0/0],['10.13.22.1'],as3border2[GigabitEthernet0/0],['10.13.22.3']
15,as1border2[GigabitEthernet1/0],['1.0.2.1'],as1core1[GigabitEthernet0/0],['1.0.2.2']
33,as1core1[GigabitEthernet0/0],['1.0.2.2'],as1border2[GigabitEthernet1/0],['1.0.2.1']
31,as1core1[GigabitEthernet1/0],['1.0.1.2'],as1border1[GigabitEthernet0/0],['1.0.1.1']
20,as2border1[GigabitEthernet0/0],['10.12.11.2'],as1border1[GigabitEthernet1/0],['10.12.11.1']
16,as2border1[GigabitEthernet1/0],['2.12.11.1'],as2core1[GigabitEthernet0/0],['2.12.11.2']
12,as2border1[GigabitEthernet2/0],['2.12.12.1'],as2core2[GigabitEthernet1/0],['2.12.12.2']
18,as2border2[GigabitEthernet0/0],['10.23.21.2'],as3border1[GigabitEthernet1/0],['10.23.21.3']
3,as2border2[GigabitEthernet1/0],['2.12.22.1'],as2core2[GigabitEthernet0/0],['2.12.22.2']
0,as2border2[GigabitEthernet2/0],['2.12.21.1'],as2core1[GigabitEthernet1/0],['2.12.21.2']
22,as2core1[GigabitEthernet0/0],['2.12.11.2'],as2border1[GigabitEthernet1/0],['2.12.11.1']
7,as2core1[GigabitEthernet1/0],['2.12.21.2'],as2border2[GigabitEthernet2/0],['2.12.21.1']
24,as2core1[GigabitEthernet2/0],['2.23.11.2'],as2dist1[GigabitEthernet0/0],['2.23.11.3']
34,as2core1[GigabitEthernet3/0],['2.23.12.2'],as2dist2[GigabitEthernet1/0],['2.23.12.3']
14,as2core2[GigabitEthernet0/0],['2.12.22.2'],as2border2[GigabitEthernet1/0],['2.12.22.1']
27,as2core2[GigabitEthernet1/0],['2.12.12.2'],as2border1[GigabitEthernet2/0],['2.12.12.1']
28,as2core2[GigabitEthernet2/0],['2.23.22.2'],as2dist2[GigabitEthernet0/0],['2.23.22.3']
35,as2core2[GigabitEthernet3/0],['2.23.21.2'],as2dist1[GigabitEthernet1/0],['2.23.21.3']
1,as2dept1[GigabitEthernet0/0],['2.34.101.4'],as2dist1[GigabitEthernet2/0],['2.34.101.3']
19,as2dept1[GigabitEthernet1/0],['2.34.201.4'],as2dist2[GigabitEthernet2/0],['2.34.201.3']
36,as2dept1[GigabitEthernet2/0],['2.128.0.1'],host1[eth0],['2.128.0.101']
8,as2dept1[GigabitEthernet3/0],['2.128.1.1'],host2[eth0],['2.128.1.101']
10,as2dist1[GigabitEthernet0/0],['2.23.11.3'],as2core1[GigabitEthernet2/0],['2.23.11.2']
26,as2dist1[GigabitEthernet1/0],['2.23.21.3'],as2core2[GigabitEthernet3/0],['2.23.21.2']
9,as2dist1[GigabitEthernet2/0],['2.34.101.3'],as2dept1[GigabitEthernet0/0],['2.34.101.4']
5,as2dist2[GigabitEthernet0/0],['2.23.22.3'],as2core2[GigabitEthernet2/0],['2.23.22.2']
6,as2dist2[GigabitEthernet1/0],['2.23.12.3'],as2core1[GigabitEthernet3/0],['2.23.12.2']
21,as2dist2[GigabitEthernet2/0],['2.34.201.3'],as2dept1[GigabitEthernet1/0],['2.34.201.4']
2,as3border1[GigabitEthernet0/0],['3.0.1.1'],as3core1[GigabitEthernet1/0],['3.0.1.2']
23,as3border1[GigabitEthernet1/0],['10.23.21.3'],as2border2[GigabitEthernet0/0],['10.23.21.2']
4,as3border2[GigabitEthernet0/0],['10.13.22.3'],as1border2[GigabitEthernet0/0],['10.13.22.1']
13,as3border2[GigabitEthernet1/0],['3.0.2.1'],as3core1[GigabitEthernet0/0],['3.0.2.2']
29,as3core1[GigabitEthernet0/0],['3.0.2.2'],as3border2[GigabitEthernet1/0],['3.0.2.1']
25,as3core1[GigabitEthernet1/0],['3.0.1.2'],as3border1[GigabitEthernet0/0],['3.0.1.1']
30,host1[eth0],['2.128.0.101'],as2dept1[GigabitEthernet2/0],['2.128.0.1']
37,host2[eth0],['2.128.1.101'],as2dept1[GigabitEthernet3/0],['2.128.1.1']
